COMID,Stream DOC
22878023,2.113145812
22878025,2.098673242
22878027,2.078217603
22878029,1.228288353
22878031,1.255488003
22878033,1.235629924
22878035,1.236823493
22878037,1.748277796
22878039,1.226114613
22878041,1.237008155
22878043,1.239822704
22878045,1.242214546
22878047,1.273560649
22878049,1.19856496
22878051,1.203844636
22878053,1.263975613
22878055,1.325640669
22878057,1.271871231
22878059,1.38977841
22878061,1.220880368
22878063,1.137509358
22878065,0.920105057
22878067,1.070815494
22878069,1.248511455
22878071,1.221554075
22878073,1.180694247
22878075,1.158813147
22878077,1.1668886
22878079,1.170503859
22878081,1.162977167
22878083,1.133055071
22878085,1.171753148
22878087,1.165253852
22878089,1.155150731
22878091,1.184451652
22878093,1.139722775
22878095,1.147580841
22878097,1.165164339
22878099,1.386137768
22878101,1.149780158
22878103,1.167414094
22878105,1.229476115
22878107,1.190863506
22878109,1.228846674
22878111,1.206423087
22878113,1.204319921
22878115,1.199213652
22878117,1.191993746
22878119,1.25813702
22878121,1.03737245
22878123,1.760280927
22878125,1.200736391
22878127,1.705534939
22878129,1.147649984
22878131,0.853452501
22878133,0.919071005
22878135,2.361041987
22878137,2.330097174
22878139,2.851940206
22878141,2.286040227
22878143,2.321592315
22878145,2.243689222
22878147,2.852525725
22878149,2.852525725
22878151,2.852232965
22878153,2.450780591
22878155,2.418300354
22878157,2.41252709
22878159,2.318293119
22878161,2.360747675
22878163,2.338136413
22878165,2.314466148
22878167,2.319967359
22878169,2.423264629
22878171,2.417631292
22878173,2.366669904
22878175,2.360612487
22878177,2.266842916
22878179,2.354214179
22878181,2.321863384
22878183,2.347829546
22878185,2.318558825
22878187,2.346266489
22878189,2.188070596
22878191,2.14745933
22878193,2.148580504
22878195,2.234150074
22878197,2.082611325
22878199,2.007890055
22878201,2.010294526
22878203,2.141770081
22878205,2.271343417
22878207,1.492535025
22878209,1.488215296
22878211,1.522367419
22878213,1.556019921
22878215,1.449212646
22878217,1.330765032
22878219,2.13530558
22878221,1.914031403
22878223,2.436248051
22878225,2.428946634
22878227,2.451765336
22878229,1.784359201
22878231,2.427569039
22878233,2.424103158
22878235,2.083779944
22878237,2.371985101
22878239,2.379431711
22878241,2.364785887
22878243,2.420601653
22878245,1.601898149
22878247,2.436924172
22878249,0.838967434
22878251,2.384227067
22878253,1.151634358
22878255,2.398331827
22878257,2.539137739
22878259,2.449888669
22878261,0.83953739
22878263,0.923979695
22878265,0.831025001
22878267,0.856191201
22878269,0.857350055
22878271,0.844782983
22878273,1.194084455
22878275,0.781818182
22878277,0.781818182
